Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
14131,4756,47.9,57500,27970,9.440706476,43.2320594,-78.9061921,1
96084,593,55,31897,23506,16.69477234,40.9048101,-122.0229676,0
41763,645,41.6,36827,16535,17.98449612,37.0495523,-83.1166438,0
35005,8150,38.2,46059,21273,17.86503067,33.6047446,-87.0424393,2
84116,33574,29.2,42235,15888,21.27241318,40.8038325,-112.0237903,7
55419,26808,36.8,94177,49251,8.075947478,44.9061358,-93.2885455,162
79778,900,44.6,61806,28706,10.44444444,31.1870316,-101.9119871,1
16930,1348,41,44934,20611,15.05934718,41.5701913,-77.1255055,1
74438,265,31.6,46875,14888,17.35849057,35.5198866,-95.7513494,0
25401,14987,34.7,36600,21158,27.20357643,39.4529363,-77.9681544,32
53816,942,33.4,44375,18813,29.29936306,42.9580239,-90.8484524,1
72856,528,52.1,31016,24773,9.28030303,35.7781087,-93.0676373,0
42366,5847,43.2,63170,26182,4.976911237,37.7060405,-86.9624086,0
54120,111,53.5,31250,19959,11.71171171,45.7217009,-88.3800868,0
23389,136,73.3,,13575,0,37.6502818,-75.8388698,0
1922,3025,44.4,109301,40983,2.181818182,38.3035226,-85.0085446,1
99753,279,19.9,28333,8987,53.76344086,64.9424911,-161.1275809,0
16636,801,47.6,42303,21236,14.48189763,40.594001,-78.4865602,0
95051,53152,36.1,100504,43487,6.865216737,37.3598283,-121.9814354,176
55433,34024,36.3,59258,27493,9.972372443,45.1670628,-93.3132624,64
76556,1392,50.7,39375,21201,17.52873563,30.6897762,-96.8994495,0
14304,29745,44.7,47878,25791,11.23213986,43.0939533,-78.9627624,20
